Title,URL,Description,Raw_Deadline,Parsed_Deadline,Ingestion_Timestamp
Scholarships in Germany for International Students,https://www.scholars4dev.com/6643/scholarships-in-germany-for-international-students/,"©iStock.com/cofkocof Germany has become a popular destination for foreign students looking for an international education. German Universities offers internationally recognized programs at a relatively cheaper cost compared to UK, USA or Australia. Moreover, there are a significant number of available scholarships in Germany for international students to study in Germany for free.",,Unknown/Variable,2026-05-25 00:13:51
Fulbright Foreign Student Program in USA,https://www.scholars4dev.com/2876/usa-fulbright-scholarships-for-international-students/,USA Government Masters/PhD Degrees,"varies, Feb-Oct 2026 Study in: USA Course starts AY 2027-2028","varies, Feb-Oct 2026 Study in: USA Course starts AY 2027-2028",2026-05-25 00:13:51
DAAD Helmut-Schmidt Masters Scholarships for Public Policy and Good Governance,https://www.scholars4dev.com/1010/daad-ms-scholarships-for-public-policy-and-good-governance-ppgg/,DAAD Masters Degree,31 July 2026 (annual) Study in: Germany Next course starts Sept/Oct 2027,2026-07-31,2026-05-25 00:13:51
GREAT Scholarships in UK for International Students,https://www.scholars4dev.com/28045/great-scholarships-in-uk-for-international-students/,UK Government/British Council Masters Degree,"varies, Apr-June 2026 (Annual) Study in: UK Course starts Sept 2026","varies, Apr-June 2026 (Annual) Study in: UK Course starts Sept 2026",2026-05-25 00:13:51
SIDS Scholarships in Water and Sustainable Development at IHE Delft,https://www.scholars4dev.com/29181/sids-scholarships-in-water-and-sustainable-development-at-ihe-delft/,IHE Delft Masters Degree,1 June 2026 (annual) Study in: Netherlands Course starts September 2026,2026-06-01,2026-05-25 00:13:51
Top 10 Prestigious Scholarships for the Best International Students,https://www.scholars4dev.com/6268/top-10-scholarships-for-international-students/,"©iStock.com/daz2d If you are a bright, talented, or motivated international student, the best scholarships are for your taking. scholars4dev.com lists the ten most prestigious international scholarship programs out there for the brightest international students from around the world. If you are from a developing country, also see Top 15 scholarships for developing country students.",,Unknown/Variable,2026-05-25 00:13:51
Adelaide Global Academic Excellence Scholarships for International Students,https://www.scholars4dev.com/6711/university-of-adelaide-scholarships-for-international-students/,University of Adelaide Bachelors/Masters Degree,22 May 2026 (annual) Study in: Australia Next course starts 2026,2026-05-22,2026-05-25 00:13:51
ASBS Global Impact Scholarship,https://www.scholars4dev.com/29477/asbs-global-impact-scholarship/,Glasgow University Masters Degree,23 Feb/18 May 2026 (annual) Study in: UK Course starts Sept 2026,2026-05-18,2026-05-25 00:13:51
University of New South Wales International Scholarships,https://www.scholars4dev.com/23382/unsw-international-scholarships/,University of New South Wales Bachelors/Masters Degree,"18 June 2026 (Annual) Study in: Australia Course starts Term 3, 2026",2026-06-18,2026-05-25 00:13:51
The Glenmore Medical Postgraduate Scholarship at the University of Edinburgh,https://www.scholars4dev.com/15839/the-glenmore-medical-postgraduate-scholarship-at-the-university-of-edinburgh/,University of Edinburgh Masters Degree,28 May 2026 (annual) Study in: UK Course starts September 2026,2026-05-28,2026-05-25 00:13:51
