Scholarship Name,Provider,Country,Deadline,Eligibility,Benefits,Application Link,Program
Chevening Scholarship,UK Government,United Kingdom,11/1/2026,"Bachelor's degree, leadership potential","Full tuition, monthly stipend, travel costs",https://www.chevening.org/apply/,Any Master's Program
Fulbright Foreign Student Program,U.S. Department of State,United States,10/15/2026,"Bachelor's degree, English proficiency","Tuition, living stipend, airfare",https://foreign.fulbrightonline.org/,"Arts, Humanities, Social Sciences"
DAAD Scholarship,German Academic Exchange Service (DAAD),Germany,12/31/2026,Graduates from developing countries,"Monthly stipend, travel allowance, insurance",https://www.daad.de/en/study-and-research-in-germany/scholarships/,"Engineering, Natural Sciences"
Eiffel Excellence Scholarship,French Ministry for Europe and Foreign Affairs,France,1/10/2026,Non-French nationals under 30,"Monthly allowance, tuition, travel",https://www.campusfrance.org/en/eiffel-scholarship-program-of-excellence,"Science, Economics, Law"
Australia Awards Scholarship,Australian Government,Australia,4/30/2026,Citizens of eligible developing countries,"Full tuition, living expenses, travel",https://www.dfat.gov.au/people-to-people/australia-awards,"Development Studies, Public Policy"
MEXT Scholarship,Japanese Government (MEXT),Japan,5/20/2026,"Non-Japanese citizens, undergraduate or graduate","Tuition, monthly stipend, travel",https://www.studyinjapan.go.jp/en/smap-stopj-applications-scholarships/,"Engineering, Medicine, Humanities"
Gates Cambridge Scholarship,Bill & Melinda Gates Foundation,United Kingdom,9/1/2026,"Outstanding academic record, leadership","Full cost of study, airfare, visa fees",https://www.gatescambridge.org/,"STEM, Social Sciences"
Commonwealth Shared Scholarship,UK Department for International Development,United Kingdom,3/22/2026,Citizens of eligible Commonwealth countries,"Tuition, airfare, living allowance",https://cscuk.fcdo.gov.uk/scholarships/commonwealth-shared-scholarships/,"Education, Development Studies"
Swedish Institute Scholarship,Swedish Institute,Sweden,2/28/2026,Citizens from eligible countries with work experience,"Tuition, living expenses, insurance",https://si.se/en/apply/scholarships/,"Sustainability, Innovation, Leadership"
Rotary Peace Fellowship,Rotary International,Global,5/1/2026,"Bachelor's degree, commitment to peace and development","Tuition, housing, travel, training",https://www.rotary.org/en/our-programs/peace-fellowships,"Peace Studies, International Relations"
